cnpjcpf,serie,fabricante,descri,familia,isolante,tipo,tipo_sigla,potencia,potencia_a,potencia_b,potencia_un,impedancia,impedancia_a,impedancia_b,tensao,tensao_a,tensao_b,tensao_un,corrente,corrente_a,corrente_b,fases,lote,ano,volume,drenos,regional,subestacao,subestacao_sigla,status,energ,tag,local
33050196000188,SP6738,BROWN BOVERI,CIA 40,BB0204NCN,Óleo Mineral,Regulador,REG,2.6670,2.6670,2.6670,MVA,0.7600,0.7600,0.5200,11.9000,11.9000,13.8000,KV,1289.0000,1289.0000,1116.0000,3,,75,5700,,Campinas,Tres Pontes,TPO,1,1989-12-28,RT 000040,
33050196000188,SP6739,BROWN BOVERI,CIA 41,BB0204,Óleo Mineral,Regulador,REG,2.6670,2.6670,2.6670,MVA,0.7500,0.7500,0.5100,11.9000,11.9000,13.8000,KV,1289.0000,1289.0000,1116.0000,3,,76,5900,,Campinas,Itapira,ITP,1,1977-05-01,RT 000041,
33050196000188,SP6740,BROWN BOVERI,CIA 42,BB0204  N,Óleo Mineral,Regulador,REG,2.6670,2.6670,2.6670,MVA,0.0000,0.0000,0.0000,11.9000,11.9000,13.8000,KV,1289.0000,1289.0000,1116.0000,3,,74,5700,,Campinas,Saci,SAC,1,1974-11-01,RT 000042,PMO: TREVO
33050196000188,30910,ITEL,CIA 43,IT0204  S,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.0000,0.0000,0.0000,11.9000,11.9000,13.8000,KV,1208.0000,1208.0000,1171.0000,3,,75,7300,,Bauru,Bauru,BAU,1,1990-05-06,RT 000043,
33050196000188,30911,ITEL,CIA 44,IT0204  N,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.0000,0.0000,0.0000,11.9000,11.9000,13.8000,KV,1208.0000,1208.0000,1171.0000,3,,75,7300,,Campinas,Piracicamirim,PMI,1,1976-11-01,RT 000044,SE: MDC
33050196000188,30912,ITEL,CIA 45,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.0000,0.0000,0.0000,11.9000,11.9000,13.8000,KV,1208.0000,1208.0000,1171.0000,3,,77,7300,,Araraquara,Minerva,MIV,1,1977-04-01,RT 000045,
33050196000188,30913,ITEL,CIA 46,IT0204  N,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.0000,0.0000,0.0000,11.9000,11.9000,13.8000,KV,1208.0000,1208.0000,1171.0000,3,,75,7300,,Ribeirao Preto,Morro Do Cipo,MDC,1,1976-10-01,RT 000046,
33050196000188,38646,ITEL,CIA 47,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.0000,0.0000,0.0000,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,85,6610,,Ribeirao Preto,Pontal,PTL,1,1986-05-01,RT 000047,S.E. PTL
33050196000188,SP19928,BROWN BOVERI,CIA 48,BB0205  S,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.0000,0.0000,0.0000,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,86,5745,,Bauru,Marilia,MAR,1,1998-11-15,RT 000048,S.E.: MAR - PMO: M\134134ARILIA
33050196000188,30914,ITEL,CIA 49,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.0000,0.0000,0.0000,11.9000,11.9000,13.8000,KV,1208.0000,1208.0000,1171.0000,3,,77,7300,,Campinas,Chapadao,CPD,1,1977-02-01,RT 000049,
33050196000188,30915,ITEL,CIA 50,IT0204  N,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.0000,0.0000,0.0000,11.9000,11.9000,13.8000,KV,1208.0000,1208.0000,1171.0000,3,,76,7300,,Campinas,Cruzeiro,CRO,1,1976-12-01,RT 000050,
33050196000188,SP7343,BROWN BOVERI,CIA 51,BB0104  N,Óleo Mineral,Regulador,REG,1.0000,1.0000,1.0000,MVA,0.0000,0.0000,0.0000,11.9000,11.9000,13.8000,KV,483.0000,483.0000,418.0000,3,,76,3450,,,,,2,1976-12-13,RT 000051,
